제목,방송 기간,방송 시간,방송 횟수,장르,채널,방송 시작
20세기소년소녀,  2017년 10월 9일 ~ 2017년 11월 28일 ,  월요일 ~ 화요일 오후 10시 00분 ~ 11시 10분(70분) ,  32부작 ,  감성 로맨스 ,  문화방송 문화방송 ,2017-10-09 00:00:00
검법남녀시즌2, 2019년 6월 3일 ~ 2019년 7월 29일 ,"  매주 월요일, 화요일 오후 8:55 ~ 10:05 ",  32부작 ,,   문화방송 ,2019-06-03 00:00:00
품위있는그녀, 2017년 6월 16일 ~ 8월 19일 ," 금요일, 토요일 밤 11시 ", 20부작 ," 드라마, 통속극, 미스터리, 스릴러, 막장 드라마 ", JTBC ,2017-06-16 00:00:00
신데렐라언니,  2010년 3월 31일 ~ 2010년 6월 3일 ,"  수요일, 목요일 09:55 ~ 11:05 ",  20부작 ,  드라마 ,  한국방송공사 ,2010-03-31 00:00:00
너의목소리가들려,  2013년 6월 5일 ~ 2013년 8월 1일 ,"  수요일, 목요일 밤 10시 ",  18부작 ,,  SBS ,2013-06-05 00:00:00
"사임당,빛의일기",  2017년 1월 26일 ~ 2017년 5월 4일 ,"  수요일, 목요일 오후 10:00~11:00 ",  28부작 ,"  판타지, 사극, 타임루프 ",  SBS ,2017-01-26 00:00:00
무신,  2012년 2월 11일 ~ 2012년 9월 15일 ,"  토요일, 일요일 밤 8시 45분 ",  56부작 ,  사극 ,  문화방송 ,2012-02-11 00:00:00
맨땅에헤딩,  2009년 9월 9일 ~ 2009년 11월 4일 ,"  수요일, 목요일 밤 09:55 ~ 11:05 ",  16부작 ,  드라마 ,  문화방송 ,2009-09-09 00:00:00
구해줘2,  2019년 5월 8일 ~ 2019년 6월 27일 ,"  수요일, 목요일 밤 11시 ~ ",  16부작 ,"  스릴러, 범죄 ",  OCN ,2019-05-08 00:00:00
한번더해피엔딩,  2016년 1월 20일 ~ 2016년 3월 10일 ,"  수요일, 목요일 오후 10:00~ ",  16부작 ,  로맨틱 코미디 ,  문화방송 ,2016-01-20 00:00:00
엽기적인그녀,  2017년 5월 29일 ~ 2017년 7월 18일 ,"  월요일, 화요일 오후 10:00 ~ 오후 11:10 ",  32부작 ,,  SBS ,2017-05-29 00:00:00
용팔이,  2015년 8월 5일 ~ 2015년 10월 1일 ,"  수요일, 목요일 오후 10:00~ ",  18부작 ,  멜로 막장 드라마 ,  SBS ,2015-08-05 00:00:00
뱀파이어검사,,  매주 일요일 밤 11시 ,,"  범죄, 액션, 스릴러, 판타지 ",  OCN_LOGO.png ,unknown
라디오로맨스,  2018년 1월 29일 ~ 2018년 3월 20일  ,"  월요일, 화요일 오후 10:00 ~ 11:10 ",  16부작 ,,  KBS 2TV ,2018-01-29 00:00:00
