제목,방송 기간,방송 시간,방송 횟수,장르,채널,방송 시작
천상여자, 2014년 1월 6일 ~ 2014년 6월 2일, 월요일 ~ 금요일 저녁 7시 50분 ~ 8시 30분, 103부작, 드라마, KBS 제2TV,2014-01-06 00:00:00
맨발의사랑, 2006년 7월 31일 ~ 2006년 12월 2일, 월요일 ~ 토요일 오전 8시 30분 ~ 9시, 105부작, 드라마, SBS,2006-07-31 00:00:00
아내와여자, 2008년 10월 20일 ~ 2009년 4월 18일, 매주 월요일 ~ 토요일 오전 9시, 156부작, 드라마, KBS 2TV,2008-10-20 00:00:00
게임의여왕, 2006년 11월 18일 ~ 2007년 1월 28일," 매주 토,일 밤 10시", 20부작, 복수극, SBS,2006-11-18 00:00:00
아이템, 2019년 2월 11일 ~ 2019년 4월 2일," 매주 월요일, 화요일 밤 (시간) 10:00 ~ 11:10", 32부작," SF, 판타지, 서스펜스", MBC TV,2019-02-11 00:00:00
레테의연가, 1991년 2월 6일 ~ 1991년 2월 28일," 수요일, 목요일 밤 (시간) 9시 50분", 8부작, 드라마, 한국방송공사,1991-02-06 00:00:00
야식남녀, 2020년 5월 25일 ~," 매주 월요일, 화요일 밤 9시 30분", 12부작, 로맨틱 코미디 드라마, JTBC,2020-05-25 00:00:00
끝까지사랑, 2018년 7월 23일 ~ 2018년 12월 31일, 매주 평일 저녁 7:50 ~ 8:30, 104부작, 드라마, KBS 2TV,2018-07-23 00:00:00
쩐의전쟁," 2007년 5월 16일 ~ 2007년 7월 5일 (본편)
2007년 7월 11일 ~ 2007년 7월 19일 (번외편)"," 매주 수요일, 목요일 밤 (시간) 9시 55분 ~ 11시 5분"," 16부작 (본편)
4부작 (번외편)"," 범죄, 서스펜스, 속물 드라마 Drama Drama", SBS TV,2007-05-16 00:00:00
발리에서생긴일, 2004년 1월 3일 ~ 2004년 3월 7일, 매주 토 · 일요일 밤 9시 45분, 20부작," 텔레비전 드라마, 멜로", SBS TV,2004-01-03 00:00:00
아직은마흔아홉, 1990년 10월 15일 ~ 1991년 2월 16일, 월요일~토요일 오전 9시 20분 ~ 9시 45분, 106부작, 텔레비전 드라마, 문화방송,1990-10-15 00:00:00
천년지애, 2003년 3월 22일 ~ 2003년 5월 25일," 매주 토,일 밤 9시 45분", 20부작," 판타지, 대하사극", SBS TV,2003-03-22 00:00:00
청춘예찬, 2009년 1월 5일 ~ 2009년 4월 17일, 월요일 ~ 금요일 오전 7시 50분 ~ 8시 25분, 75부작, 텔레비전 드라마, KBS 1TV,2009-01-05 00:00:00
막돼먹은영애씨8, 2010년 12월 17일 ~ 2011년 4월 29일, 매주 금요일 밤 11시, 20부작, 텔레비전 드라마, tvN,2010-12-17 00:00:00
매드독, 2017년 10월 11일 ~ 2017년 11월 30일," 매주 수요일, 목요일 밤 10:00 ~ 11:10", 16부작," 범죄, 스릴러", KBS 2TV,2017-10-11 00:00:00
위기의남자, 1992년 4월 29일 ~ 1992년 6월 18일," 수요일, 목요일 밤 (시간) 9시 50분", 16부작, 드라마, 한국방송공사,1992-04-29 00:00:00
화양연화, 2020년 4월 25일 ~ 2020년 6월 14일," 매주 토요일 밤 9시 10분 ~ 10시 30분
매주 일요일 밤 9시 10분 ~ 10시 35분", 16부작, 휴먼 판타지 텔레비전 드라마, tvN,2020-04-25 00:00:00
썸데이, 방송 일시, 방송 일시, 16부작, 텔레비전 드라마, OCN (텔레비전 채널),unknown
영웅반란, 1997년 8월 18일 ~ 1997년 9월 2일," 매주 월,화 밤 9시 55분", 6부작, 드라마, MBC,1997-08-18 00:00:00
부자의탄생, 2010년 3월 1일 ~ 2010년 5월 4일," 월요일, 화요일 밤 (시간) 9시 55분 ~ 11시 5분", 20부작, 드라마, KBS 2TV,2010-03-01 00:00:00
무적의낙하산요원, 2006년 9월 6일 ~ 2006년 11월 2일," 매주 수,목 밤 9시 55분", 16부작," 드라마, 액션", SBS TV,2006-09-06 00:00:00
죽어야사는남자, 2017년 7월 19일 ~ 2017년 8월 24일," 매주 수요일, 목요일 밤 (시간) 10:00 ~ 11:10 (2회 연속방송)", 24부작, 드라마, MBC TV,2017-07-19 00:00:00
해를품은달, 2012년 1월 4일 ~ 2012년 3월 15일," 수요일, 목요일 문화방송 수목 미니시리즈", 20부작 + 스페셜 4부작," 판타지, 로맨스, 사극 드라마 드라마 드라마 드라마 드라마 드라마 드라마", MBC TV,2012-01-04 00:00:00
내아이디는강남미인, 2018년 7월 27일 ~ 2018년 9월 15일," 매주 금요일, 토요일 밤 (시간) 11시", 16부작, 드라마, JTBC,2018-07-27 00:00:00
산바람, 1993년 5월 10일 ~ 1993년 7월 6일, 매주 월·화요일 저녁 9시 50분, 16부작, 텔레비전 드라마, 문화방송,1993-05-10 00:00:00
브라보마이라이프, 2017년 10월 21일 ~ 2018년 2월 3일, 매주 토요일 밤 8:55 ~ 11:15, 56부작, 드라마, SBS TV,2017-10-21 00:00:00
스카이캐슬, 2018년 11월 23일 ~ 2019년 2월 1일," 금요일, 토요일 밤 (시간) 11시 ~ 12시 20분"," 20부작본래 16부작으로 기획되었으나, 4부 연장되었다. + 스페셜 1부작", 텔레비전 드라마 드라마음악," JTBC (한국), 넷플릭스 (전세계)",2018-11-23 00:00:00
초인시대, 2015년 4월 10일 ~ 2015년 5월 22일, 금요일 밤 11시 30분, 13부작 + 스페셜 1부작, 코미디, tvN,2015-04-10 00:00:00
좋은남자좋은여자, 1995년 4월 3일 ~ 1995년 9월 15일, 월요일 ∼ 금요일 밤 (시간) 9시 20분, , 드라마, KBS 2TV,1995-04-03 00:00:00
달려라장미, 2014년 12월 15일 ~ 2015년 6월 5일, 월요일 ~ 금요일 저녁 7시 20분 ~ 8시, 123부작, 드라마 · 연속극, SBS TV,2014-12-15 00:00:00
은혜의땅, 1988년 9월 17일 ~ 1989년 4월 16일," 토, 일요일 오후 7시 50분", 56부작, 드라마, KBS2,1988-09-17 00:00:00
