제목,방송 기간,방송 횟수,장르,채널,제작사,극본,출연자,방송 시작
연인, 2003년 5월 19일 ~ 2003년 10월 21일, 103부작, 드라마, SBS, SBS 프로덕션, 이금림," 이정길 (1944년), 고두심, 반효정 외",2003-05-19 00:00:00
막돼먹은영애씨10, 2012년 4월 13일 ~ 2012년 8월 31일, 20부작 + 스페셜 1부작, 텔레비전 드라마, tvN,  CJ E&M 방송사업부문," 명수현, 임수미, 한설희"," 김현숙 (희극인), 김산호 외",2012-04-13 00:00:00
찔레꽃, 2003년 11월 17일 ~ 2004년 6월 12일, 180부작, 드라마, KBS 1TV,, 박현주 (작가)," 남성진, 전미선, 안연홍 외",2003-11-17 00:00:00
눈사람, 2003년 1월 8일 ~ 2003년 3월 6일, 17부작, 텔레비전 드라마 드라마음악, MBC TV, , 김도우 (작가) ," 공효진, 조재현, 오연수, 김래원 외",2003-01-08 00:00:00
성난눈동자, 1981년 7월 18일 ~ 1981년 10월 4일, 24부작, 텔레비전 드라마, 문화방송, , 이재우," 김영란 (배우), 유인촌, 전양자, 정혜선 외",1981-07-18 00:00:00
모래위의욕망, 1992년 10월 31일 ~ 1993년 4월 18일, 50부작, 드라마, SBS (대한민국의 방송사),, 정하연," 이덕화, 황신혜, 이응경, 박상원",1992-10-31 00:00:00
이태원클라쓰, 2020년 1월 31일 ~ 2020년 3월 21일, 16부작," 드라마, 로맨스 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악", JTBC," 이상윤, 정수진, 한석원, 한벳퐁 (베트남)",," 박서준, 김다미, 유재명, 권나라 (배우)",2020-01-31 00:00:00
스크린, 2003년 5월 31일 ~ 2003년 7월 27일, 18부작, 드라마, SBS, , 임채준," 김태희, 공유 (배우), 박정철, 오승현 외",2003-05-31 00:00:00
진짜진짜좋아해, 2006년 4월 8일 ~ 2006년 8월 6일, 34부작, 텔레비전 드라마, 문화방송, 문화방송, 배유미 (작가)," 유진 (연예인), 이민기, 류진 (배우) 외",2006-04-08 00:00:00
내일도맑음, 2018년 5월 7일 ~ 2018년 11월 2일, 121부작, 드라마, KBS 1TV,  KBS 드라마 제작국," 김민주, 구지원 (작가) (81~121회)"," 설인아, 하승리, 진주형, 이창욱 (배우) 외",2018-05-07 00:00:00
날씨가좋으면찾아가겠어요, 2020년 2월 24일 ~ 2020년 4월 21일, 16부작, , JTBC," 민현일,이성진 에이스팩토리", 한가람," 박민영, 서강준, 문정희 (배우), 이재욱 (1998년), 임세미, 김환희, 김민주 외",2020-02-24 00:00:00
순수, 1998년 8월 17일 ~ 1998년 10월 6일, 16부작, 드라마, KBS 2TV,," 홍영희, 최호연"," 류시원, 한재석, 이본, 명세빈 외",1998-08-17 00:00:00
1%의어떤것, 2016년 10월 5일 ~ 2016년 11월 24일2019년 5월 13일 ~, 16부작, 텔레비전 드라마," 드라맥스, 라이프타임 (텔레비전 네트워크)"," 강성욱, 전용주, 이인찬 가딘미디어, IHQ", 현고운," 하석진, 전소민 (배우) 외",2016-10-05 00:00:00
맨발의사랑, 2006년 7월 31일 ~ 2006년 12월 2일, 105부작, 드라마, SBS, ,," 전혜진 (1970년), 임호 (배우), 오유나, 박준혁",2006-07-31 00:00:00
하늘만큼땅만큼, 2007년 1월 15일 ~ 2007년 8월 31일, 165부작, 텔레비전 드라마, KBS 1TV, , 최현경 ," 박해진, 한효주, 이주현, 강정화, 홍수아 등",2007-01-15 00:00:00
좋은걸어떡해, 2000년 5월 1일 ~ 2001년 2월 2일, 190부작, 드라마, KBS 1TV,, 최윤정 (1968년)," 정선경, 정보석 외",2000-05-01 00:00:00
